Model,DV,Term,Coef,SE,z,p,CI_low,CI_high,AIC,QIC,Notes
GEE_Poisson_L1_Req,L1_Req,Intercept,2.6271414962215873,0.022117576915162935,118.78071030559063,0.0,2.5837918420425736,2.670491150400601,,,QIC=41.62
GEE_Poisson_L1_Req,L1_Req,GroupBin,-0.0587031401686558,0.03488942840839573,-1.6825480624534848,0.09246261327054303,-0.12708516329030006,0.009678882952988452,,,QIC=41.62
GEE_Poisson_L1_Req,L1_Req,Month_c,-0.03802326894246063,0.0017053998026982323,-22.29580939454863,4.0576752830757674e-110,-0.04136579113499088,-0.03468074674993038,,,QIC=41.62
GEE_Poisson_L1_Req,L1_Req,GroupBin:Month_c,-0.3846941003946042,0.014550300482553697,-26.438911062755402,4.894154558128623e-154,-0.4132121653046452,-0.3561760354845632,,,QIC=41.62
GEE_Poisson_L1_Calque,L1_Calque,Intercept,2.1002781708660514,0.031850215147595416,65.94235427086637,0.0,2.0378528962769122,2.1627034454551906,,,QIC=35.89
GEE_Poisson_L1_Calque,L1_Calque,GroupBin,-0.100485022412738,0.045149793092355936,-2.2255920909137137,0.026041516446451012,-0.18897699078319097,-0.011993054042285053,,,QIC=35.89
GEE_Poisson_L1_Calque,L1_Calque,Month_c,-0.050508449550810325,0.0023534031637360365,-21.461877135674438,3.5373061746471265e-102,-0.05512103499283558,-0.04589586410878507,,,QIC=35.89
GEE_Poisson_L1_Calque,L1_Calque,GroupBin:Month_c,-0.4207972854831924,0.0203720527754499,-20.655615323669778,8.690694291090207e-95,-0.4607257752142234,-0.38086879575216137,,,QIC=35.89
LMM_L1_Req,L1_Req,Intercept,14.292105263157922,0.38872699339383215,36.766433785261,6.351848162620291e-296,13.530214356287471,15.053996170028372,,,LL=-224.03
LMM_L1_Req,L1_Req,Group[T.EG],-0.11315789473687453,0.5497429861180738,-0.2058378143865404,0.8369176020187304,-1.190634348281802,0.964318558808053,,,LL=-224.03
LMM_L1_Req,L1_Req,Month,-0.477631578947371,0.08220476886731617,-5.810266065199932,6.237363406175169e-09,-0.6387499652847501,-0.31651319260999183,,,LL=-224.03
LMM_L1_Req,L1_Req,Group[T.EG]:Month,-1.7460526315789449,0.1162550990239041,-15.019148804990701,5.500956431584475e-51,-1.9739084386849344,-1.5181968244729553,,,LL=-224.03
LMM_L1_Req,L1_Req,Group Var,0.5548326660903724,0.24848621745312494,2.2328508670507548,0.025558780563403154,0.06780862922765934,1.0418567029530854,,,LL=-224.03
LMM_L1_Calque,L1_Calque,Intercept,8.51052631578945,0.2781380534315569,30.5982090936136,1.2929754448688815e-205,7.965385748333522,9.05566688324538,,,LL=-183.55
LMM_L1_Calque,L1_Calque,Group[T.EG],-0.48157894736839796,0.39334660737496063,-1.224311938476513,0.2208345749905588,-1.252524131264338,0.28936623652754206,,,LL=-183.55
LMM_L1_Calque,L1_Calque,Month,-0.3631578947368375,0.05660893896353504,-6.415204054094136,1.406343626445811e-10,-0.47410937630839234,-0.2522064131652827,,,LL=-183.55
LMM_L1_Calque,L1_Calque,Group[T.EG]:Month,-0.9355263157894779,0.08005712923378204,-11.685733984509525,1.507714380179492e-31,-1.0924354057933594,-0.7786172257855963,,,LL=-183.55
LMM_L1_Calque,L1_Calque,Group Var,0.6953225154474204,0.28778977692648094,2.4160778846048037,0.015688705128485247,0.13126491755270153,1.2593801133421394,,,LL=-183.55
LMM_Latency,Latency,Intercept,4.901578947368431,0.09116566365346511,53.76562568556618,0.0,4.722897529980947,5.080260364755914,,,LL=-57.90
LMM_Latency,Latency,Group[T.EG],0.0676315789473617,0.12892771796147426,0.5245697357923541,0.599882329988561,-0.18506210486606567,0.3203252627607891,,,LL=-57.90
LMM_Latency,Latency,Month,-0.0944736842105282,0.020452206801839557,-4.6192415872712,3.8514521487239726e-06,-0.13455927294649883,-0.05438809547455754,,,LL=-57.90
LMM_Latency,Latency,Group[T.EG]:Month,-0.4657894736842086,0.028923788239620763,-16.10402723963228,2.3902752574189192e-58,-0.5224790569303285,-0.4090998904380887,,,LL=-57.90
LMM_Latency,Latency,Group Var,0.35810146748714405,0.19344985887667088,1.8511332578197572,0.06415038456113552,-0.02105328872548695,0.7372562236997751,,,LL=-57.90
LMM_Fluency,Fluency,Intercept,2.9792105263157893,0.11007581905416175,27.0650770706498,2.538581463380465e-161,2.7634658854008842,3.1949551672306944,,,LL=-81.27
LMM_Fluency,Fluency,Group[T.EG],-0.5034210526315801,0.15567071619572279,-3.233884091588782,0.0012211900591616823,-0.8085300498227528,-0.19831205544040736,,,LL=-81.27
LMM_Fluency,Fluency,Month,0.11723684210526313,0.027450458840709714,4.270851820203383,1.947277647379542e-05,0.06343493141837296,0.1710387527921533,,,LL=-81.27
LMM_Fluency,Fluency,Group[T.EG]:Month,0.9680263157894742,0.03882081118589623,24.93575703902762,3.047959024655694e-137,0.8919389240144879,1.0441137075644604,,,LL=-81.27
LMM_Fluency,Fluency,Group Var,0.058943248447219515,0.1097482841118817,0.5370767199160076,0.5912146207858906,-0.15615943577713806,0.27404593267157706,,,LL=-81.27
LMM_N400_Amp,N400_Amp,Intercept,-5.464210526315784,0.09226308392272527,-59.22423459086108,0.0,-5.645042847906923,-5.283378204724646,,,LL=-58.37
LMM_N400_Amp,N400_Amp,Group[T.EG],-0.29526315789474256,0.13047970458988503,-2.2629048618924585,0.023641554632642826,-0.5509986796043428,-0.03952763618514232,,,LL=-58.37
LMM_N400_Amp,N400_Amp,Month,0.11026315789473728,0.020125012875795167,5.4789111726409585,4.2795112308300316e-08,0.0708188574697739,0.14970745831970067,,,LL=-58.37
LMM_N400_Amp,N400_Amp,Group[T.EG]:Month,0.6140789473684211,0.02846106615188267,21.576104847632365,3.011986719489422e-103,0.558296282749119,0.6698616119877231,,,LL=-58.37
LMM_N400_Amp,N400_Amp,Group Var,0.4487597197208812,0.21881295376076282,2.050882783710916,0.0402783631262627,0.019894210998957884,0.8776252284428046,,,LL=-58.37
LMM_Fluency_N400cov,Fluency,Intercept,9.138487194231333,0.288687378370311,31.65530563137064,6.409880070416837e-220,8.572670329834235,9.70430405862843,,,LL=36.00
LMM_Fluency_N400cov,Fluency,Group[T.EG],-0.17059941800432826,0.05790635856582171,-2.9461258181242607,0.0032178148193754215,-0.28409379526920125,-0.05710504073945526,,,LL=36.00
LMM_Fluency_N400cov,Fluency,Month,-0.007052164052358097,0.01110125325168048,-0.6352583706069904,0.5252599194852476,-0.028810220608910003,0.01470589250419381,,,LL=36.00
LMM_Fluency_N400cov,Fluency,Group[T.EG]:Month,0.2758344402076713,0.03482485547816907,7.920619810772389,2.3632952895180715e-15,0.2075789777036475,0.34408990271169504,,,LL=36.00
LMM_Fluency_N400cov,Fluency,N400_Amp,1.1272033971334476,0.05233650280963148,21.53761402884582,6.917946773688756e-103,1.0246257365497906,1.2297810577171047,,,LL=36.00
LMM_Fluency_N400cov,Fluency,Group Var,0.15639124632747,0.17924626470252802,0.8724937537025524,0.3829390742781119,-0.19492497685281804,0.507707469507758,,,LL=36.00
