Var1,Var2,r,p,CI_low,CI_high,n
D_L1_Req,D_L1_Calque,0.9783224948260509,1.3553314526903797e-27,0.9591070111226304,0.9885614038005586,40
D_L1_Req,D_Latency,0.9932704800109874,3.431093003643427e-37,0.9872196656685431,0.9964616536673451,40
D_L1_Req,D_Fluency,-0.981557839100847,6.462748130474768e-29,-0.9902761131221318,-0.965159739173639,40
D_L1_Req,D_N400,-0.9900225595681695,5.929148711525231e-34,-0.9947498573901739,-0.981079114847018,40
D_L1_Calque,D_Latency,0.9797496220504146,3.762258023301301e-28,0.9617747364716214,0.9893180974448921,40
D_L1_Calque,D_Fluency,-0.9608959823519119,8.599248889903968e-23,-0.9792797250871553,-0.9268047305866112,40
D_L1_Calque,D_N400,-0.9761446836629578,8.200041468714048e-27,-0.9874056869646498,-0.9550426034466682,40
D_Latency,D_Fluency,-0.9909591997216617,9.184431811601266e-35,-0.9952437793483158,-0.9828480917455745,40
D_Latency,D_N400,-0.9958343230520904,3.866381714334603e-41,-0.9978110440435778,-0.9920796152747264,40
D_Fluency,D_N400,0.994160001496935,2.3382409412529102e-38,0.9889045438610911,0.9969300090728497,40
