Section,Group,Month,DV,n,Mean,SD,Median,IQR,Min,Max,SEM
Observed,CG,M1,L1_Req,20,14.0,1.4509525002200232,14.0,2.0,12.0,16.0,0.32444284226152503
Observed,CG,M1,L1_Calque,20,8.25,1.164157703189193,8.0,2.0,7.0,10.0,0.2603135760861059
Observed,CG,M1,Latency,20,4.845000000000001,0.3619755734707436,4.9,0.5250000000000004,4.3,5.4,0.08094019884750521
Observed,CG,M1,Fluency,20,3.0699999999999994,0.23192557789991713,3.0,0.3999999999999999,2.8,3.4,0.05186013579051376
Observed,CG,M1,N400_Amp,20,-5.38,0.3349783967896876,-5.5,0.5,-5.8,-4.9,0.07490344662156388
Observed,CG,M3,L1_Req,20,12.55,1.3168942730211068,12.0,1.0,11.0,15.0,0.2944665113655362
Observed,CG,M3,L1_Calque,20,7.25,1.164157703189193,7.0,2.0,6.0,9.0,0.2603135760861059
Observed,CG,M3,Latency,20,4.555,0.29464519251751625,4.6,0.4249999999999998,4.1,5.0,0.06588466797126787
Observed,CG,M3,Fluency,20,3.375,0.23367769075779304,3.3,0.3999999999999999,3.1,3.7,0.05225192013595996
Observed,CG,M3,N400_Amp,20,-5.09,0.3258995647677201,-5.05,0.5,-5.6,-4.7,0.07287335806582175
Observed,CG,M6,L1_Req,20,11.55,1.3168942730211068,11.0,1.0,10.0,14.0,0.2944665113655362
Observed,CG,M6,L1_Calque,20,6.4,1.0462967275611939,6.0,1.0,5.0,8.0,0.2339590607462407
Observed,CG,M6,Latency,20,4.359999999999999,0.2702825032793418,4.3,0.4250000000000007,4.0,4.8,0.0604370050461418
Observed,CG,M6,Fluency,20,3.665,0.25188761069384225,3.6,0.3999999999999999,3.3,4.0,0.05632378202014342
Observed,CG,M6,N400_Amp,20,-4.819999999999999,0.2930780388260186,-4.75,0.40000000000000036,-5.3,-4.5,0.06553424175273002
Observed,EG,M1,L1_Req,20,13.1,1.6189665319514628,13.0,2.0,11.0,16.0,0.36201192187405556
Observed,EG,M1,L1_Calque,20,7.5,1.0513149660756937,7.5,1.0,6.0,9.0,0.23508117299081363
Observed,EG,M1,Latency,20,4.705,0.30689446154389266,4.75,0.40000000000000036,4.2,5.2,0.0686236877930339
Observed,EG,M1,Fluency,20,3.1600000000000006,0.2798495836582292,3.2,0.32499999999999973,2.7,3.6,0.06257626925348148
Observed,EG,M1,N400_Amp,20,-5.315,0.3150187964316783,-5.35,0.40000000000000036,-5.8,-4.8,0.07044034430114009
Observed,EG,M3,L1_Req,20,5.6,1.2311740225021848,5.5,1.0,4.0,8.0,0.27529888064467406
Observed,EG,M3,L1_Calque,20,2.85,0.7451598203705947,3.0,1.0,2.0,4.0,0.16662280124501821
Observed,EG,M3,Latency,20,2.795,0.25848750351551664,2.8,0.3999999999999999,2.4,3.2,0.05779956291949111
Observed,EG,M3,Fluency,20,6.4,0.338728271783244,6.4,0.5250000000000004,5.8,6.9,0.07574194416083574
Observed,EG,M3,N400_Amp,20,-3.12,0.2966479394838265,-3.1,0.3999999999999999,-3.7,-2.7,0.066332495807108
Observed,EG,M6,L1_Req,20,1.6,0.6805570473787206,1.5,1.0,1.0,3.0,0.15217718205053643
Observed,EG,M6,L1_Calque,20,0.75,0.4442616583193193,1.0,0.25,0.0,1.0,0.09933992677987828
Observed,EG,M6,Latency,20,1.8050000000000002,0.1637552731171861,1.8,0.19999999999999996,1.6,2.1,0.0366167922364072
Observed,EG,M6,Fluency,20,8.72,0.38743420494052244,8.75,0.5500000000000007,8.0,9.3,0.0866329219055593
Observed,EG,M6,N400_Amp,20,-1.6,0.24494897427831783,-1.6,0.3250000000000002,-2.1,-1.2,0.05477225575051661
Delta_M6_M1,CG,M6-M1,D_L1_Req,20,-2.45,0.5104177855340405,-2.0,1.0,-3.0,-2.0,0.11413288653790232
Delta_M6_M1,CG,M6-M1,D_L1_Calque,20,-1.85,0.36634754853252327,-2.0,0.0,-2.0,-1.0,0.08191780219091253
Delta_M6_M1,CG,M6-M1,D_Latency,20,-0.4850000000000003,0.11367080817685313,-0.5,0.20000000000000018,-0.6000000000000005,-0.2999999999999998,0.02541756541407825
Delta_M6_M1,CG,M6-M1,D_Fluency,20,0.5949999999999999,0.05104177855340405,0.6000000000000001,0.0,0.5,0.7000000000000002,0.011413288653790233
Delta_M6_M1,CG,M6-M1,D_N400,20,0.56,0.1429022485182754,0.5,0.09999999999999964,0.40000000000000036,0.9000000000000004,0.03195391418244324
Delta_M6_M1,EG,M6-M1,D_L1_Req,20,-11.5,1.2354415362426845,-11.5,3.0,-13.0,-10.0,0.27625312572654126
Delta_M6_M1,EG,M6-M1,D_L1_Calque,20,-6.75,0.910465468000326,-7.0,1.0,-8.0,-5.0,0.20358626776148883
Delta_M6_M1,EG,M6-M1,D_Latency,20,-2.9000000000000004,0.21026299321513878,-2.9,0.25000000000000044,-3.3000000000000003,-2.5999999999999996,0.04701623459816273
Delta_M6_M1,EG,M6-M1,D_Fluency,20,5.56,0.29806392814823773,5.5,0.34999999999999964,5.1,6.199999999999999,0.06664912049800725
Delta_M6_M1,EG,M6-M1,D_N400,20,3.715,0.28335397241649984,3.75,0.19999999999999973,3.0,4.2,0.0633598744017894
