Variable,Unit,DataType,ValueRange,Description
ID,—,integer,1 to 40,Participant identifier (40 participants)
Group,—,string,EG / CG,Group: Experimental (EG) vs Control (CG)
Month,—,integer,"1, 3, 6","Timepoint: baseline M1, midpoint M3, endpoint M6"
L1_Req,count,integer,1 to 16,Number of L1-mediated meaning requests
L1_Calque,count,integer,0 to 10,Number of L1-based calques (literal transfers)
Latency,ms,float,1.6 to 5.4,Translation/naming latency
Fluency,score,float,2.7 to 9.3,L2 fluency score
N400_Amp,µV,float,-5.8 to -1.2,N400 mean amplitude (ERP; negative values)
<Var>_M1/M3/M6,varies,numeric,,Wide-format value of <Var> at M1/M3/M6
<Var>_D_M3M1,varies,float,,Change score M3 − M1 for <Var>
<Var>_D_M6M1,varies,float,,Change score M6 − M1 for <Var>
