ID,Group,L1_Req_D_M3M1,L1_Req_D_M6M1,L1_Calque_D_M3M1,L1_Calque_D_M6M1,Latency_D_M3M1,Latency_D_M6M1,Fluency_D_M3M1,Fluency_D_M6M1,N400_Amp_D_M3M1,N400_Amp_D_M6M1
1,EG,-7.0,-11.0,-4.0,-6.0,-1.7000000000000002,-2.7,2.8999999999999995,5.7,1.8999999999999995,3.5999999999999996
2,EG,-8.0,-12.0,-4.0,-7.0,-1.9,-2.9,3.3,5.5,2.4000000000000004,3.7
3,EG,-7.0,-10.0,-4.0,-6.0,-1.7000000000000002,-2.6,3.3,5.699999999999999,2.1000000000000005,3.7
4,EG,-8.0,-13.0,-6.0,-8.0,-1.9999999999999996,-3.0999999999999996,3.2,5.3999999999999995,2.2,3.8000000000000003
5,EG,-8.0,-12.0,-5.0,-6.0,-2.0,-3.0,3.4,5.9,2.1999999999999997,3.9
6,EG,-6.0,-10.0,-5.0,-7.0,-1.5999999999999996,-2.8,2.9000000000000004,5.500000000000001,1.9000000000000004,3.6
7,EG,-9.0,-13.0,-5.0,-7.0,-2.3000000000000003,-3.3000000000000003,3.7,6.1,2.6,4.2
8,EG,-7.0,-10.0,-3.0,-5.0,-1.9,-2.5999999999999996,3.3000000000000003,5.1,2.0999999999999996,3.0
9,EG,-8.0,-13.0,-5.0,-8.0,-2.0,-3.1,3.2,5.3999999999999995,2.1999999999999997,3.8
10,EG,-7.0,-11.0,-5.0,-7.0,-2.0,-2.9,3.2,5.3999999999999995,2.3000000000000003,3.8000000000000003
11,EG,-7.0,-11.0,-5.0,-7.0,-1.9,-2.8,3.1999999999999997,5.9,2.3,3.6999999999999997
12,EG,-8.0,-12.0,-5.0,-7.0,-1.9000000000000004,-3.0000000000000004,3.1,5.300000000000001,2.2,3.8
13,EG,-7.0,-10.0,-4.0,-6.0,-1.7000000000000002,-2.6,3.3,5.6,2.0000000000000004,3.6000000000000005
14,EG,-8.0,-13.0,-5.0,-8.0,-1.9,-3.0,3.2,5.500000000000001,2.2,3.9000000000000004
15,EG,-8.0,-12.0,-5.0,-6.0,-2.0,-3.0,3.3,5.8,2.3,3.8
16,EG,-6.0,-10.0,-5.0,-7.0,-1.5999999999999996,-2.8,3.0,5.3999999999999995,2.0,3.6
17,EG,-9.0,-13.0,-5.0,-7.0,-2.1999999999999997,-3.1999999999999997,3.7,6.199999999999999,2.6,4.2
18,EG,-7.0,-10.0,-3.0,-5.0,-1.9,-2.5999999999999996,3.3000000000000003,5.200000000000001,2.0999999999999996,3.0999999999999996
19,EG,-8.0,-13.0,-5.0,-8.0,-2.0,-3.1,3.0999999999999996,5.3,2.0999999999999996,3.6999999999999997
20,EG,-7.0,-11.0,-5.0,-7.0,-2.0,-2.9,3.2,5.3,2.2,3.8000000000000003
21,CG,-1.0,-2.0,-1.0,-2.0,-0.2999999999999998,-0.5,0.3999999999999999,0.6999999999999997,0.20000000000000018,0.5
22,CG,-2.0,-3.0,-1.0,-2.0,-0.2999999999999998,-0.5,0.30000000000000027,0.7000000000000002,0.2999999999999998,0.5999999999999996
23,CG,-1.0,-2.0,-1.0,-2.0,-0.20000000000000018,-0.2999999999999998,0.30000000000000027,0.6000000000000001,0.20000000000000018,0.40000000000000036
24,CG,-2.0,-3.0,-1.0,-2.0,-0.39999999999999947,-0.5999999999999996,0.30000000000000027,0.6000000000000001,0.2999999999999998,0.5999999999999996
25,CG,-2.0,-3.0,-1.0,-2.0,-0.2999999999999998,-0.5,0.2999999999999998,0.6000000000000001,0.3000000000000007,0.6000000000000005
26,CG,-1.0,-2.0,-1.0,-2.0,-0.2999999999999998,-0.5,0.30000000000000027,0.6000000000000001,0.1999999999999993,0.5
27,CG,-2.0,-3.0,-1.0,-2.0,-0.2999999999999998,-0.5,0.30000000000000027,0.6000000000000001,0.2999999999999998,0.5999999999999996
28,CG,-1.0,-2.0,-1.0,-1.0,-0.20000000000000018,-0.3000000000000007,0.30000000000000027,0.6000000000000001,0.20000000000000018,0.40000000000000036
29,CG,-1.0,-2.0,-1.0,-2.0,-0.40000000000000036,-0.6000000000000005,0.30000000000000027,0.5,0.20000000000000018,0.5
30,CG,-2.0,-3.0,-1.0,-2.0,-0.3000000000000007,-0.6000000000000005,0.2999999999999998,0.6000000000000001,0.40000000000000036,0.7000000000000002
31,CG,-1.0,-2.0,-1.0,-2.0,-0.20000000000000018,-0.40000000000000036,0.30000000000000027,0.6000000000000001,0.1999999999999993,0.5
32,CG,-2.0,-3.0,-1.0,-2.0,-0.2999999999999998,-0.5,0.30000000000000027,0.6000000000000001,0.2999999999999998,0.5999999999999996
33,CG,-1.0,-2.0,-1.0,-1.0,-0.20000000000000018,-0.3000000000000007,0.30000000000000027,0.6000000000000001,0.20000000000000018,0.40000000000000036
34,CG,-1.0,-2.0,-1.0,-2.0,-0.40000000000000036,-0.6000000000000005,0.30000000000000027,0.5,0.20000000000000018,0.5
35,CG,-2.0,-3.0,-1.0,-2.0,-0.3000000000000007,-0.6000000000000005,0.2999999999999998,0.6000000000000001,0.7000000000000002,0.9000000000000004
36,CG,-1.0,-2.0,-1.0,-2.0,-0.20000000000000018,-0.40000000000000036,0.30000000000000027,0.6000000000000001,0.1999999999999993,0.5
37,CG,-2.0,-3.0,-1.0,-2.0,-0.2999999999999998,-0.5,0.30000000000000027,0.6000000000000001,0.2999999999999998,0.5999999999999996
38,CG,-1.0,-2.0,-1.0,-1.0,-0.20000000000000018,-0.3000000000000007,0.30000000000000027,0.6000000000000001,0.20000000000000018,0.40000000000000036
