ID,Group,Month,L1_Req,L1_Calque,Latency,Fluency,N400_Amp
1,EG,1,12,7,4.5,3.2,-5.1
1,EG,3,5,3,2.8,6.1,-3.2
1,EG,6,1,1,1.8,8.9,-1.5
2,EG,1,14,8,4.8,3.0,-5.4
2,EG,3,6,4,2.9,6.3,-3.0
2,EG,6,2,1,1.9,8.5,-1.7
3,EG,1,11,6,4.2,3.5,-4.9
3,EG,3,4,2,2.5,6.8,-2.8
3,EG,6,1,0,1.6,9.2,-1.2
4,EG,1,15,9,5.1,2.8,-5.7
4,EG,3,7,3,3.1,6.0,-3.5
4,EG,6,2,1,2.0,8.2,-1.9
5,EG,1,13,7,4.7,3.1,-5.3
5,EG,3,5,2,2.7,6.5,-3.1
5,EG,6,1,1,1.7,9.0,-1.4
6,EG,1,12,8,4.6,3.3,-5.2
6,EG,3,6,3,3.0,6.2,-3.3
6,EG,6,2,1,1.8,8.8,-1.6
7,EG,1,14,7,4.9,3.0,-5.5
7,EG,3,5,2,2.6,6.7,-2.9
7,EG,6,1,0,1.6,9.1,-1.3
8,EG,1,11,6,4.3,3.6,-4.8
8,EG,3,4,3,2.4,6.9,-2.7
8,EG,6,1,1,1.7,8.7,-1.8
9,EG,1,16,9,5.2,2.7,-5.8
9,EG,3,8,4,3.2,5.9,-3.6
9,EG,6,3,1,2.1,8.1,-2.0
10,EG,1,13,8,4.8,3.2,-5.4
10,EG,3,6,3,2.8,6.4,-3.1
10,EG,6,2,1,1.9,8.6,-1.6
11,EG,1,12,7,4.5,3.4,-5.1
11,EG,3,5,2,2.6,6.6,-2.8
11,EG,6,1,0,1.7,9.3,-1.4
12,EG,1,14,8,4.9,3.1,-5.5
12,EG,3,6,3,3.0,6.2,-3.3
12,EG,6,2,1,1.9,8.4,-1.7
13,EG,1,11,6,4.2,3.5,-4.9
13,EG,3,4,2,2.5,6.8,-2.9
13,EG,6,1,0,1.6,9.1,-1.3
14,EG,1,15,9,5.0,2.8,-5.7
14,EG,3,7,4,3.1,6.0,-3.5
14,EG,6,2,1,2.0,8.3,-1.8
15,EG,1,13,7,4.7,3.2,-5.3
15,EG,3,5,2,2.7,6.5,-3.0
15,EG,6,1,1,1.7,9.0,-1.5
16,EG,1,12,8,4.6,3.3,-5.2
16,EG,3,6,3,3.0,6.3,-3.2
16,EG,6,2,1,1.8,8.7,-1.6
17,EG,1,14,7,4.8,3.0,-5.5
17,EG,3,5,2,2.6,6.7,-2.9
17,EG,6,1,0,1.6,9.2,-1.3
18,EG,1,11,6,4.3,3.6,-4.8
18,EG,3,4,3,2.4,6.9,-2.7
18,EG,6,1,1,1.7,8.8,-1.7
19,EG,1,16,9,5.2,2.7,-5.8
19,EG,3,8,4,3.2,5.8,-3.7
19,EG,6,3,1,2.1,8.0,-2.1
20,EG,1,13,8,4.8,3.2,-5.4
20,EG,3,6,3,2.8,6.4,-3.2
20,EG,6,2,1,1.9,8.5,-1.6
21,CG,1,13,8,4.7,3.1,-5.2
21,CG,3,12,7,4.4,3.5,-5.0
21,CG,6,11,6,4.2,3.8,-4.7
22,CG,1,15,9,5.1,2.9,-5.6
22,CG,3,13,8,4.8,3.2,-5.3
22,CG,6,12,7,4.6,3.6,-5.0
23,CG,1,12,7,4.3,3.4,-4.9
23,CG,3,11,6,4.1,3.7,-4.7
23,CG,6,10,5,4.0,4.0,-4.5
