ID,Group,L1_Req_M1,L1_Req_M3,L1_Req_M6,L1_Calque_M1,L1_Calque_M3,L1_Calque_M6,Latency_M1,Latency_M3,Latency_M6,Fluency_M1,Fluency_M3,Fluency_M6,N400_Amp_M1,N400_Amp_M3,N400_Amp_M6
1,EG,12.0,5.0,1.0,7.0,3.0,1.0,4.5,2.8,1.8,3.2,6.1,8.9,-5.1,-3.2,-1.5
2,EG,14.0,6.0,2.0,8.0,4.0,1.0,4.8,2.9,1.9,3.0,6.3,8.5,-5.4,-3.0,-1.7
3,EG,11.0,4.0,1.0,6.0,2.0,0.0,4.2,2.5,1.6,3.5,6.8,9.2,-4.9,-2.8,-1.2
4,EG,15.0,7.0,2.0,9.0,3.0,1.0,5.1,3.1,2.0,2.8,6.0,8.2,-5.7,-3.5,-1.9
5,EG,13.0,5.0,1.0,7.0,2.0,1.0,4.7,2.7,1.7,3.1,6.5,9.0,-5.3,-3.1,-1.4
6,EG,12.0,6.0,2.0,8.0,3.0,1.0,4.6,3.0,1.8,3.3,6.2,8.8,-5.2,-3.3,-1.6
7,EG,14.0,5.0,1.0,7.0,2.0,0.0,4.9,2.6,1.6,3.0,6.7,9.1,-5.5,-2.9,-1.3
8,EG,11.0,4.0,1.0,6.0,3.0,1.0,4.3,2.4,1.7,3.6,6.9,8.7,-4.8,-2.7,-1.8
9,EG,16.0,8.0,3.0,9.0,4.0,1.0,5.2,3.2,2.1,2.7,5.9,8.1,-5.8,-3.6,-2.0
10,EG,13.0,6.0,2.0,8.0,3.0,1.0,4.8,2.8,1.9,3.2,6.4,8.6,-5.4,-3.1,-1.6
11,EG,12.0,5.0,1.0,7.0,2.0,0.0,4.5,2.6,1.7,3.4,6.6,9.3,-5.1,-2.8,-1.4
12,EG,14.0,6.0,2.0,8.0,3.0,1.0,4.9,3.0,1.9,3.1,6.2,8.4,-5.5,-3.3,-1.7
13,EG,11.0,4.0,1.0,6.0,2.0,0.0,4.2,2.5,1.6,3.5,6.8,9.1,-4.9,-2.9,-1.3
14,EG,15.0,7.0,2.0,9.0,4.0,1.0,5.0,3.1,2.0,2.8,6.0,8.3,-5.7,-3.5,-1.8
15,EG,13.0,5.0,1.0,7.0,2.0,1.0,4.7,2.7,1.7,3.2,6.5,9.0,-5.3,-3.0,-1.5
16,EG,12.0,6.0,2.0,8.0,3.0,1.0,4.6,3.0,1.8,3.3,6.3,8.7,-5.2,-3.2,-1.6
17,EG,14.0,5.0,1.0,7.0,2.0,0.0,4.8,2.6,1.6,3.0,6.7,9.2,-5.5,-2.9,-1.3
18,EG,11.0,4.0,1.0,6.0,3.0,1.0,4.3,2.4,1.7,3.6,6.9,8.8,-4.8,-2.7,-1.7
19,EG,16.0,8.0,3.0,9.0,4.0,1.0,5.2,3.2,2.1,2.7,5.8,8.0,-5.8,-3.7,-2.1
20,EG,13.0,6.0,2.0,8.0,3.0,1.0,4.8,2.8,1.9,3.2,6.4,8.5,-5.4,-3.2,-1.6
21,CG,13.0,12.0,11.0,8.0,7.0,6.0,4.7,4.4,4.2,3.1,3.5,3.8,-5.2,-5.0,-4.7
22,CG,15.0,13.0,12.0,9.0,8.0,7.0,5.1,4.8,4.6,2.9,3.2,3.6,-5.6,-5.3,-5.0
23,CG,12.0,11.0,10.0,7.0,6.0,5.0,4.3,4.1,4.0,3.4,3.7,4.0,-4.9,-4.7,-4.5
24,CG,16.0,14.0,13.0,10.0,9.0,8.0,5.3,4.9,4.7,2.8,3.1,3.4,-5.8,-5.5,-5.2
25,CG,14.0,12.0,11.0,8.0,7.0,6.0,4.8,4.5,4.3,3.0,3.3,3.6,-5.4,-5.1,-4.8
26,CG,13.0,12.0,11.0,7.0,6.0,5.0,4.6,4.3,4.1,3.3,3.6,3.9,-5.1,-4.9,-4.6
27,CG,15.0,13.0,12.0,9.0,8.0,7.0,5.0,4.7,4.5,2.9,3.2,3.5,-5.6,-5.3,-5.0
28,CG,12.0,11.0,10.0,7.0,6.0,6.0,4.4,4.2,4.1,3.4,3.7,4.0,-4.9,-4.7,-4.5
29,CG,16.0,15.0,14.0,10.0,9.0,8.0,5.4,5.0,4.8,2.8,3.1,3.3,-5.8,-5.6,-5.3
30,CG,14.0,12.0,11.0,8.0,7.0,6.0,4.9,4.6,4.3,3.0,3.3,3.6,-5.5,-5.1,-4.8
31,CG,13.0,12.0,11.0,7.0,6.0,5.0,4.5,4.3,4.1,3.3,3.6,3.9,-5.1,-4.9,-4.6
32,CG,15.0,13.0,12.0,9.0,8.0,7.0,5.0,4.7,4.5,2.9,3.2,3.5,-5.6,-5.3,-5.0
